,id,word,roles,and_roles,root,aor,imp,inf,root_cyr,stem oral/nasal,class,vowel,twol
0,3,"ОКАЗЫВАТЬСЯ, ПОПАДАТЬ",<кто:ном; где:лок>,,√=Vkᵂ'o,"1 wukᵂ'o/H, 1 pl wok'o, 2 jikᵂ'o, 2pl jokᵂ'o","1 wukᵂ'ob/H, 1pl wokᵂ'obul",1 wuk'udu/HHL,√=VкІво,o,1,1,0
1,4,ОСТАВАТЬСЯ,<кто:ном>,,√=ek:u,"1 wok:u, 2 jek:u",wok:ub,1 wok:udu,√=екку,o,1,0,1
2,5,ОСТАВЛЯТЬ,<кто:эрг; что:ном>,,√=eta,"1sg/pl wota, 2sg/pl jeta",1 woto,1 wod:u,√=ета,o,1,0,1
3,6,"ТЕРЯТЬСЯ, ИСЧЕЗАТЬ",<что:ном>,,√=Vt'u,"2 jit'u/HL, 2pl jot'u",1 wut'ub/HL,1 wut'udu/HL,√=VтІу,o,1,1,0
4,8,ПРЯТАТЬСЯ,<кто:ном>,,√=eq'aš:i,2sg/pl jeq'aš:i/HL,1 woq'aš:ib/HL,1 woq'aš:du/HL,√=екъащи,o,1,0,1
5,9,ПРЯТАТЬ,<кто:эрг; что:ном>,,√=eq'aš:i,2sg/pl jeq'aš:i/HL,5 beq'aš:o/HL,1 woq'aš:du/HL,√=екъащи,o,1,0,1
6,10,ИСКАТЬ,<кто:эрг; что:ном>,,√kusdi,kusdi/HL,kusdo/HL,kusdu/HL,√кусди,o,0,0,0
7,11,НАХОДИТЬ (случайно),<кто:дат; что:ном>,<афф; ном> ,√=Vson,"1 wuson/L, 1pl woson, 2 jison",3 bisom/L,3 bisonnu/L,√=Vсон,n,1,1,0
8,12,ДАВАТЬ,<кто:эрг; что:ном; кому:дат>,,√ič:i,ič:i/HL,ič:o/HL,ič:idu/HL,√иччи,o,0,0,0
9,13,ПРОДАВАТЬ,<кто:эрг; что:ном>,,√=aXoɬi,4sg/pl raXoɬi/HHL,5 baXoɬo/HHL,5 baXollu/HHL,√=ахолъи,?,1,0,0
10,14,БРАТЬ,<кто:эрг; что:ном>,,√=VXi,"5 biXi/L, 5pl boXi",5 biXo/L,5 biXidu/L,√=Vхи,o,1,1,0
11,15,ПОКУПАТЬ,<кто:эрг; что:ном>,,√=VXi,"5 biXi/L, 5pl boXi",5 biXo/L,5 biXidu/L,√=Vхи,o,1,1,0
12,16,"ОТНИМАТЬ, ОТБИРАТЬ",<кто:эрг; что:ном>,,√=Vlon,"2 jilon/H, 2pl jolon, 4 rulon","1 wulom/H, 1pl wolom",1 wulinnu/HHL,√=Vлон,n,1,1,0
13,17,ВЫБИРАТЬ,<кто:эрг; что:ном>,,√=oč'a,2sg/pl joč'a/HL,5 boč'o/HL,5 boc'idu/HL,√=очІа,o,1,0,0
14,18,МЕНЯТЬ,<кто:эрг; что:ном>,<что:ном> ,√=eršo,5 beršo/H,5 beršob/H,5 beršidu/HHL,√=ершо,o,1,0,?
15,19,"ЛОВИТЬ, ХВАТАТЬ, ДЕРЖАТЬ",<кто:эрг; кого:ном>,,√=Vč:i,"1 wuči/L, 1pl woč:i, 3 bič:i",1 wuč:o/L,1 wuč:idu/L,√=Vччи,o,1,1,0
16,20,ПРОИГРЫВАТЬ,<кто:ном; кому:лок>,,√=VRan,"2 jiRan/H, 2pl jaRan","1 wuRam/H, 1pl waRamul",1 wuRinnu/HHL,√=Vгъан,n,1,1,0
17,21,ВЫИГРЫВАТЬ,<кто:эрг; у кого:ном>,<ном; лок> ,√=Vša,"1 wuša/L, 2 jiša, 2pl jaša","2 jišab/L, 2pl jašabul",1 wušidu/L,√=Vша,o,1,1,0
18,22,ИДТИ,<кто:ном>,,√=Vlon,"2 jilon/H, 2pl jolon, 4 rulon","1 wulom/H, 1pl wolom",1 wulinnu/HHL,√=Vлон,n,1,1,0
19,23,УХОДИТЬ,<кто:ном>,,√=Vlon,"2 jilon/H, 2pl jolon, 4 rulon","1 wulom/H, 1pl wolom",1 wulinnu/HHL,√=Vлон,n,1,1,0
20,24,ПРИХОДИТЬ,<кто:ном>,,√=VGᵂo,"2 jiGᵂo/LH, 3 biGᵂo, 2pl joGo","1 wuGᵂob/LH, 1pl wuGᵂobul",1 wuGidu/LHL,√=Vкъгво,o,1,1,0
21,25,"ДОЙТИ, ДОСТИЧЬ",<кто:ном>,,√eqo,"1sg/pl woqo/H, 2sg/pl jeqo","1 woqob/H, 1pl woqobul",2 jeqidu/HHL,√ехъо,o,0,0,0
22,26,ВХОДИТЬ,<кто:ном>,,√kabdi,kabdi,kabdib,kabdu,√кабди,o,0,0,0
23,28,СОБИРАТЬСЯ,<кто:ном>,,√=ak'arundi,5pl bak'arunni/HHL,1pl wak'arunnibul/HHL,5pl bak'arunnu/HHL,√=акІарунди,n,1,0,?
24,29,СОБИРАТЬ,<кто:эрг; что:ном>,,√=ak'arundi,5pl bak'arunni/HHL,3 bak'arunno/HHL,5pl bak'arunnu/HHL,√=акІарунди,n,1,0,?
25,30,"ПУСКАТЬ, ОТПУСКАТЬ",<кто:эрг; кого:ном>,,√elta,elta,elto,eld:u,√елта,o,0,0,0
26,31,ГНАТЬ,<кто:эрг; кого:ном>,,√=Vq'i,"1 wuq'i/HF, 1pl waq'i, 2 juq'i, 2pl jaq'i","1 wuqᵂ'o/HF, 1pl waqᵂ'o","1 wuq'idu/HHF, 1pl waq'idu",√=Vкъи,o,1,1,0
27,32,БЕЖАТЬ,<кто:ном>,,√heldi,helli/H,"hellib/H, pl hellibul",hellu/H,√гьелди,?,0,0,0
28,33,УБЕГАТЬ,<кто:ном>,,√=Vč:'in,"2 juč:'in/HF, 2pl jač:'in","1 wuč:'im/HF, 1pl wač:'mul",1 wuč:'innu/HHL,√=VчІчІин,n,1,1,0
29,34,ПРЫГАТЬ,<кто:ном>,,√ɬibdi,ɬibdi/F,"ɬibdib/F, pl ɬibdibul",ɬibdu/F,√лъибди,o,0,0,0
30,35,ЛЕТЕТЬ,<кто:ном>,,√burdi,burdi/F,"burdib/F, pl burdibul",burdu/F,√бурди,o,0,0,0
31,36,КРУЖИТЬСЯ,<кто:ном>,,√s:ordi,s:ordi/HF,"s:ordib/HF, pl s:ordibul",s:ordu/HF,√ссорди,o,0,0,0
32,39,СКОЛЬЗИТЬ,<кто:ном>,,√č:'ardi,č:'ardi/FL,"č:'ardib/FL, pl č:'ardibul",č:'ardu/FL,√чІчІарди,o,0,0,0
33,39,СКОЛЬЗИТЬ,<кто:ном>,,√Rurdi,Rurdi/HF,"Rurdib/HF, pl Rurdibul",Rurdu/HF,√гъурди,o,0,0,0
34,40,ВСТАВАТЬ,<кто:ном>,,√hirc'i,hirc'i/H,"hirc'ib/H, pl hirc'ibul",hirc'idu/HHL,√гьирцІи,o,0,0,0
35,40,ВСТАВАТЬ,<кто:ном>,,√=Vč:'i,"2 jič:'i/HL, 2pl jač:'i","1 wuč:'ib/HL, 1pl wač:'ibul",1 wuč:'idu/HL,√=VчІчІи,o,1,1,0
36,40,ВСТАВАТЬ,<кто:ном>,,√=Vč:'i,"2 jič:'i/HL, 2pl joč:'i","1 wuč:'ib/HL, 1pl woč:'ibul",1 wuč:'idu/HL,√=VчІчІи,o,1,1,0
37,42,"ОСТАНАВЛИВАТЬСЯ, СТОЯТЬ",<кто:ном>,,√=VRi,"2 jiRi/HF, 2pl joRi","1 wuRib/HR, 1pl woRibul",1 wuRidu/HHL,√=Vгъи,o,1,1,0
38,45,ЛОЖИТЬСЯ,<кто:ном>,,√girdi,girdi/F,"girdib/F, pl girdibul",girdu/F,√гирди,o,0,0,0
39,50,ГНИТЬ,<что:ном>,,√turdi,turdi/HL,turdib/HL,turdu/HL,√турди,o,0,0,0
40,50,ГНИТЬ,<что:ном>,,√šanaXu,šanaXu/HHL,šanaXub/HHL,šanaXudu/HHL,√шанаху,o,0,0,0
41,51,ВЯНУТЬ,<что:ном>,,√=eč'andi,4 reč'anni/HHL,4 reč'annib/HHL,4 reč'annu/HHL,√=ечІанди,n,1,0,?
42,51,ВЯНУТЬ (портиться),<что:ном>,,√=Vč'o,"1 wuč'o/HL, 2 jič'o, 2pl joč'o",1 wuč'ob/HL,1 wuč'idu/HL,√=VчІо,o,1,1,0
43,52,БРОДИТЬ (о тесте),<что:ном>,,√purXundi,purXunni/HHL,purXunnib/HHL,purXunnu/HHL,√пурхунди,n,0,0,0
44,53,СВЕРТЫВАТЬСЯ (~ прокисать),<что:ном>,,√=etito,4 retito/HL,4 retitob/HL,4 retitidu/HL,√=етито,o,1,0,?
45,54,ТАЯТЬ,<что:ном>,,√=V?un,"4 ri?un/H, 4pl ro?un",4 ri?um/H,4 ri?unnu/HHL,√=Vъун,n,1,1,0
46,56,ГОРЕТЬ,<что:ном>,,√c'ato,c'ato/HL,c'atob/HL,c'atidu/HL,√цІато,o,0,0,0
47,57,ЖЕЧЬ,<кто:эрг; что:ном>,,√c'ato,c'ato/HL,c'ato/HL,c'atidu/HL,√цІато,o,0,0,0
48,58,ЗАГОРАТЬСЯ,<что:ном>,,√=Vkᵂo,"4 rikᵂo/HL, 4pl rokᵂo",4 rikᵂob/HL,4 rikudu/HL,√=Vкво,o,1,1,0
49,60,"ГАСНУТЬ, ПОТУХНУТЬ",<что:ном>,,√č'ant'u,č'ant'u/HL,č'ant'ub/HL,č'ant'udu/HL,√чІантІу,o,0,0,0
50,62,ОСТЫВАТЬ,<что:ном>,,√halto,halto/HL,haltob/HL,haltidu/HL,√гьалто,o,0,0,0
51,63,БОЛЕТЬ,<что:ном>,,√ruq'u,ruq'u/H,ruq'ub/H,ruq'udu/H,√рукъу,o,0,0,0
52,64,ОПУХАТЬ,<что:ном>,,√a=aXo,"5sg/pl abaXo/H, 4 araXo",1 awaXob/H,1 awaXidu/HHHL,√a=ахо,o,infix,0,0
53,66,ЧЕСАТЬ,<кто:эрг; что:ном>,,√qeldi,qelli/HL,qello/HL,qellu/HL,√хъелди,?,0,0,0
54,67,СЫПАТЬСЯ (рассыпаться),,,√čabdi,čabdi/F,"čabdib/F, pl čabdibul",čabdu/F,√чабди,o,0,0,0
55,69,КАПАТЬ,<что:ном>,,√t'onk'undi,t'onk'unni/HHF,t'onk'unnib/HHF,t'onk'unnu/HHF,√тІонкІунди,n,0,0,0
56,70,НАПОЛНЯТЬСЯ,<что:ном>,,√=Vc'i,"5 bic'i/L, 5pl boc'i",5 bic'ib/L,5 bic'idu/L,√=VцІи,o,1,1,0
57,72,УДАРЯТЬ,<кто:эрг; кого:дат>,<эрг;лок> ,√kᵂ:'abdi,kᵂ:'abdi/RL,kᵂ:'abdo/RL,kᵂ:'abdu/RL,√кІкІвабди,o,0,0,0
58,72,УДАРЯТЬ,<кто:эрг; кого:дат>,<эрг;лок> ,√ǯ:abi,ǯ:abi/H,ǯ:abo/H,ǯ:abu/H,√джджаби,o,0,0,0
59,73,БИТЬ,<кто:эрг; кого:ном>,,√č'indi,č'inni/HL,č'inno/HL,č'innu/HL,√чІинди,n,0,0,0
60,74,ЛОМАТЬСЯ,<что:ном>,,√=Vqin,"5 biqin/HL, 5pl boqin","5 biqim/HL, 5pl boqimul",5 biqinnu/HL,√=Vхъин,n,1,1,0
61,74,ЛОМАТЬСЯ (раскалываться),<что:ном>,,√Gardi,Gardi,Gardib,Gardu,√къгарди,o,0,0,0
62,76,РЕЗАТЬ,<кто:эрг; что:ном>,,√=Vq'i,"1 wuq'i/HF, 1pl waq'i, 2 juq'i, 2pl jaq'i","1 wuqᵂ'o/HF, 1pl waqᵂ'o","1 wuq'idu/HHF, 1pl waq'idu",√=Vкъи,o,1,1,0
63,77,"КРОШИТЬ, РЕЗАТЬ НА КУСКИ",<кто:эрг; что:ном>,,√=aq'aq'i,"5 baq'aq'i/HHL, 4 raq'aq'i",4 raq'aq'o/HHL,raq'aq'idu/HHL,√=акъакъи,o,1,0,?
64,78,ПИЛИТЬ,<кто:эрг; что:ном>,,√quqandi,quqanni/HHL,quqanno/HHL,quqannu/HHL,√хъухъанди,n,0,0,0
65,79,ЛОПНУТЬ,<что:ном>,,√L'at'undi,L'at'unni/HL,L'at'unnib/HL,L'at'unnu/HL,√кьатІунди,n,0,0,0
66,79,ЛОПНУТЬ,<что:ном>,,√L'ahundi,L'ahunni/HL,L'ahunnib/HL,L'ahunnu/HL,√кьагьунди,n,0,0,0
67,80,РВАТЬСЯ (частично),<что:ном>,,√qabdi,qabdi/RL,qabdib/RL,qabdu/RL,√хъабди,o,0,0,0
68,80,РВАТЬСЯ (на части),<что:ном>,,√tandi,tanni/RF,tannib/RF,tannu/RF,√танди,n,0,0,0
69,85,ТЕРЕТЬ,<кто:эрг; что:ном>,,√č:'andi,č:'anni/HL,č:'anno/HL,č:'annu/HL,√чІчІанди,n,0,0,0
70,86,ЦАРАПАТЬ,<кто:эрг; что:ном>,<эрг; лок> ,√qeldi,qelli/HL,qello/HL,qellu/HL,√хъелди,?,0,0,0
71,87,"ДАВИТЬ, ЖАТЬ, СЖИМАТЬ (выжимать)",<кто:эрг; что:ном>,,√c:'urdi,c:'urdi/HF,c:'urdo/H,c:'urdu/HF,√цІцІурди,o,0,0,0
72,88,ГНУТЬСЯ,<что:ном>,,√č:'urdi,č:'urdi/RL,č:'urdib/RL,č:'urdu/RL,√чІчІурди,o,0,0,0
73,88,ГНУТЬСЯ,<что:ном>,,√geldi,gelli/HL,gellib/HL,gellu/HLH,√гелди,?,0,0,0
74,88,ГНУТЬСЯ,<что:ном>,,√q'ulundi,q'ulunni/HHL,q'ulunnib/HHL,q'ulunnu/HHL,√къулунди,n,0,0,0
75,88,ГНУТЬСЯ,<что:ном>,,√č'ilok'urɬi,č'ilok'urɬi/HHHL,č'ilok'urɬib/HHHL,č'ilok'urɬidu/HHHL,√чІилокІурлъи,o,0,0,0
76,90,"ТРОГАТЬ, КАСАТЬСЯ",<кто:эрг; чем:ном; что/чего:лок>,<эрг; инст; ном> ,√Gᵂobdi,Gᵂobdi/HL,Gᵂobdo/HL,Gᵂobdu/HL,√къгвобди,o,0,0,0
77,91,ТОЛКАТЬ,<кто:эрг; что:ном>,,√Gumdi,Gummi/HL,Gummo/HL,Gummu/HL,√къгумди,?,0,0,0
78,92,ТЯНУТЬ,<кто:эрг; что:ном>,,√L'andi,L'anni/HL,L'anno/HL,L'annu/HL,√кьанди,n,0,0,0
79,93,"ТАЩИТЬ, ВОЛОЧИТЬ",<кто:эрг; что:ном>,,√qurdi,qurdi/HL,qurdo/HL,qurdu/HL,√хъурди,o,0,0,0
80,93,"ТАЩИТЬ, ВОЛОЧИТЬ",<кто:эрг; что:ном>,,√=Vš:i,"4 ruš:i/L, 4pl raš:i","4 ruš:o/L, 4pl raš:o",4 ruš:du/L,√=Vщи,o,1,1,0
81,94,НЕСТИ (приносить),<кто:эрг; что:ном>,,√=Vgo,"5 biqo/HL, 5pl boqo",5 biqo,5 biqidu,√=Vго,o,1,1,0
82,94,НЕСТИ (брать с собой),<кто:эрг; что:ном>,,√=ač:undi,4sg/pl rač:unni/L,4 rač:unno,4 rač:unnu,√=аччунди,n,1,0,?
83,94,"НЕСТИ (нести, уносить)",<кто:эрг; что:ном>,,√=VXi,"4 riXi/L, 5 biXi, 5pl boXi",4 riXo,4 riXidu,√=Vхи,o,1,1,0
84,95,"БРОСАТЬ, КИДАТЬ",<кто:эрг; что:ном; во что:лок>,,√šamdi,šammi/HL,šammo/HL,šammu/HL,√шамди,?,0,0,0
85,96,СТРЕЛЯТЬ,<кто:эрг; в кого:лок; из чего:ном>,<эрг; ном; лок> ,√bilan,bilan/L,bilon/L,bilinnu/L,√билан,n,0,0,0
86,97,"КАЧАТЬСЯ, ШЕВЕЛИТЬСЯ",<что:ном>,,√GiGabšo,GiGabšo/HHL,GiGabšob/HHL,GiGabšdu/HHL,√къгикъгабшо,o,0,0,0
87,98,КАЧАТЬ,<кто:эрг; что:ном>,,√GiGabšo,GiGabšo/HHL,GiGabšo/HHL,GiGabšdu/HHL,√къгикъгабшо,o,0,0,0
88,99,МАХАТЬ,<кто:эрг; чем:ном>,,√xᵂ:ahešo,xᵂ:ahešo/LHL,xᵂ:ahešo/LHL,xᵂ:ahešdu/LHL,√хьхьвагьешо,o,0,0,0
89,100,ОТКРЫВАТЬСЯ,<что:ном>,,√arXon,arXon/HL,arXom/HL,arXinnu/HL,√aрхон,n,0,0,0
90,101,ОТКРЫВАТЬ,<кто:эрг; что:ном>,,√arXon,arXon/HL,arXon/HL,arXinnu/HL,√aрхон,n,0,0,0
91,102,ОТПИРАТЬ,<кто:эрг; что:ном>,,√arXon,arXon/HL,arXom/HL,arXinnu/HL,√aрхон,n,0,0,0
92,103,ЗАКРЫВАТЬСЯ,<что:ном>,,√joq'an,joq'an/H,joq'om/H,joq'innu/HHL,√йокъан,n,0,0,0
93,104,ЗАКРЫВАТЬ,<кто:эрг; что:ном>,,√joq'an,joq'an/H,joq'on/H,joq'innu/HHL,√йокъан,n,0,0,0
94,105,ЗАПИРАТЬ,<кто:эрг; чем:ном>,,√daš:i,daš:i/HL,daš:o/HL,daš:du/HL,√дащи,o,0,0,0
95,106,МАЗАТЬ,<кто:эрг; чем:ном; на что:лок>,,√=ušo,5 bušo/L,5 bušo/L,5 bušidu/L,√=ушо,o,1,0,?
96,107,ПРИВЯЗЫВАТЬ,<кто:эрг; что:ном; к чему:лок>,,√=ošan,2sg/pl jošan/L,5 bošon/L,5 bošinnu/L,√=ошан,n,1,0,?
97,108,СВЯЗЫВАТЬ,<кто:эрг; что:ном>,,√=ošan,2sg/pl jošan/L,5 bošon/L,5 bošinnu/L,√=ошан,n,1,0,?
